"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
3,1,0,4,1,0,1,0,0,0,2,0,"ID_85b5e5721",1,2,"two",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_5eef4820f",1,2,"four",2
1,0,0,4,1,3,1,2,0,1,1,0,"ID_80c8b02cf",1,3,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_d903b447c",1,3,"two",8
2,0,0,6,1,2,0,2,0,0,2,0,"ID_5ea92221e",1,4,"four",8
0,0,0,5,1,3,0,3,0,0,0,0,"ID_9bacc16aa",1,3,"four",8
3,2,36350,6,1,1,3,0,0,1,1,0,"ID_a735e6f7c",1,1,"two",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_2352d3271",1,3,"four",1
3,0,0,6,1,3,1,2,0,1,3,0,"ID_6e977e950",1,5,"four",4
3,1,150000,3,1,1,1,1,0,0,2,0,"ID_252acebc6",1,3,"four",1
3,1,0,6,1,1,1,1,0,0,2,0,"ID_5a8e4d396",1,3,"four",1
2,1,0,4,1,2,2,1,0,1,1,0,"ID_bf3fa1d51",1,2,"two",7
2,0,20000,4,1,2,1,1,0,1,2,0,"ID_2623017dd",1,3,"four",1
2,0,0,6,1,2,0,2,0,0,2,0,"ID_acfb82eb7",1,4,"two",8
1,0,0,7,1,0,0,0,0,0,1,0,"ID_bd8e11b0f",1,1,"four",2
3,0,26000,5,1,2,0,2,0,0,3,0,"ID_07ef41234",1,5,"four",4
2,1,0,4,1,2,1,2,0,0,1,0,"ID_ec52d2d64",1,3,"three",8
3,1,0,4,1,1,1,1,0,0,2,0,"ID_8115a6fdf",1,3,"four",1
3,0,0,3,0,1,0,1,0,0,3,0,"ID_ade15990c",1,4,"four",5
2,1,180000,4,1,2,2,1,0,1,1,0,"ID_68437ae85",1,2,"four",7
2,0,0,4,1,4,2,2,0,2,2,0,"ID_9cdb9398f",1,4,"two",7
2,1,250000,4,1,1,1,1,0,0,1,0,"ID_619109093",1,2,"three",1
0,0,0,1,0,1,0,1,0,0,0,0,"ID_4949066c1",1,1,"one",5
1,0,0,4,1,1,0,1,0,0,1,0,"ID_d46aec5f5",1,2,"two",2
3,2,0,4,1,0,2,0,0,0,1,0,"ID_390152271",1,1,"four",7
2,1,0,5,1,1,1,1,0,0,1,0,"ID_ee685c600",1,2,"one",1
3,1,0,7,1,3,2,2,0,1,2,0,"ID_b38571caf",1,4,"four",7
0,0,0,4,1,1,0,1,0,0,0,0,"ID_a2dc1abb9",1,1,"four",2
0,0,0,7,1,1,0,1,0,0,0,0,"ID_e5df547aa",1,1,"four",2
2,1,0,4,1,4,2,3,0,1,1,0,"ID_6b939f366",1,4,"two",7
0,0,0,4,0,1,0,1,0,0,0,0,"ID_641f6190e",1,1,"four",5
2,0,360000,5,1,1,1,0,0,1,2,0,"ID_205ba4e8c",1,2,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_a195e8bb5",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_4ebf4973f",1,2,"four",2
2,1,0,5,1,1,1,1,0,0,1,0,"ID_8b58a7bd1",1,2,"four",1
0,0,0,6,1,2,0,2,0,0,0,0,"ID_0147c1e3a",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_73027e73b",1,2,"four",2
1,0,3e+05,5,1,1,0,1,0,0,1,0,"ID_a9ef8259e",1,2,"four",2
2,0,0,8,1,2,0,2,0,0,2,0,"ID_c5dd15f08",1,4,"four",8
2,0,0,6,1,1,0,1,0,0,2,0,"ID_878cebe5c",1,3,"four",1
2,1,0,3,1,1,1,1,0,0,1,0,"ID_501bf99f3",1,2,"two",1
1,0,90000,4,1,3,1,2,0,1,1,0,"ID_a77e17fa8",1,3,"four",8
1,0,2e+05,5,1,4,0,4,0,0,1,0,"ID_e03eb76b9",1,5,"four",8
1,0,2e+05,6,1,1,1,0,0,1,1,0,"ID_40bcd6f1e",1,1,"four",2
0,0,4e+05,4,1,2,0,2,0,0,0,0,"ID_8269d1a33",1,2,"four",2
1,0,0,6,1,2,1,1,0,1,1,0,"ID_6de214a95",1,2,"three",2
2,1,0,3,1,2,2,1,0,1,1,0,"ID_f718be071",1,2,"four",7
2,0,0,9,1,1,0,1,0,0,2,0,"ID_9672e5f05",1,3,"four",1
2,0,1e+05,6,1,2,1,1,0,1,2,0,"ID_51c87c53a",1,3,"four",1
5,1,0,5,1,1,1,1,0,0,4,0,"ID_2cd661b0b",1,5,"four",4
0,0,0,6,1,1,0,1,0,0,0,0,"ID_b26f4e2f3",1,1,"four",2
2,1,0,5,1,1,1,1,0,0,1,0,"ID_d7b811f8a",1,2,"four",1
1,0,150000,3,1,1,0,1,0,0,1,0,"ID_e8683fa07",1,2,"four",2
0,0,97000,5,1,3,0,3,0,0,0,0,"ID_cda366f20",1,3,"four",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_2206873f1",1,3,"four",1
2,0,0,3,1,1,0,1,0,0,2,0,"ID_edd4be942",1,3,"four",1
2,1,0,4,1,1,1,1,0,0,1,0,"ID_dc7b6c82e",1,2,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_40e19965e",1,2,"four",2
3,0,0,4,1,1,0,1,0,0,3,0,"ID_4e15e3275",1,4,"three",1
0,0,0,6,1,1,0,1,0,0,0,0,"ID_af76460bb",1,1,"four",2
4,2,0,6,1,3,2,3,0,0,2,0,"ID_8dac0058f",1,5,"four",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_78c2e2e46",1,2,"four",2
1,0,230000,5,1,3,1,2,0,1,1,0,"ID_8183bac81",1,3,"four",8
0,0,0,7,1,1,0,1,0,0,0,0,"ID_40cdef3e1",1,1,"four",2
2,0,0,4,1,1,0,1,0,0,2,0,"ID_a70fa3db5",1,3,"four",1
1,0,0,4,1,2,0,2,0,0,1,0,"ID_51c79f720",1,3,"four",8
2,1,30000,3,1,0,1,0,0,0,1,0,"ID_32bf0902b",1,1,"four",1
3,1,70000,4,1,0,1,0,0,0,2,0,"ID_7372889fb",1,2,"two",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_c843b9810",1,2,"four",2
2,0,0,6,1,0,0,0,0,0,2,0,"ID_04b5aa53f",1,2,"four",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_a4cdd91cd",1,1,"two",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_fea8ddcc8",1,2,"three",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_c14560897",1,4,"four",8
4,1,0,4,1,5,3,3,1,2,3,0,"ID_4ebd3c079",1,6,"one",3
1,0,0,5,1,0,0,0,0,0,1,0,"ID_a8f1bd314",1,1,"four",2
1,0,0,4,1,2,1,1,0,1,1,0,"ID_e644d8180",1,2,"three",2
2,0,0,4,1,0,0,0,0,0,2,0,"ID_8e3e998a9",1,2,"four",1
1,0,120000,5,1,1,0,1,0,0,1,0,"ID_cc1cb71fa",1,2,"four",2
1,0,240000,5,1,2,1,1,0,1,1,0,"ID_1cde78703",1,2,"four",2
0,0,135000,4,1,1,0,1,0,0,0,0,"ID_f29eb3ddd",1,1,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_02fdbfdad",1,2,"four",2
4,2,150000,6,1,1,2,1,0,0,2,0,"ID_982a6d335",1,3,"two",7
1,0,0,5,1,3,0,3,0,0,1,0,"ID_b335a7438",1,4,"four",8
2,1,1e+05,5,1,3,1,3,0,0,1,0,"ID_4048b70c3",1,4,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_41ab0f18e",1,2,"two",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_56b07e8a0",1,2,"four",2
3,1,1e+05,4,1,1,1,1,0,0,2,0,"ID_97b44c265",1,3,"four",1
3,2,0,5,1,0,2,0,0,0,1,0,"ID_80b4cca96",1,1,"one",7
2,0,250000,6,1,0,0,0,0,0,2,0,"ID_7594290f9",1,2,"four",1
3,2,0,4,1,1,2,1,0,0,1,0,"ID_9d02c7e76",1,2,"two",7
2,0,110000,5,1,0,0,0,0,0,2,0,"ID_04f750727",1,2,"four",1
3,1,0,9,1,3,1,3,0,0,2,0,"ID_602cd7354",1,5,"four",4
1,0,285270,5,1,1,1,0,0,1,1,0,"ID_62291346f",1,1,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_1bbfa6c4c",1,3,"four",1
0,0,170000,5,1,2,0,2,0,0,0,0,"ID_c1a051725",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_202e503ed",1,2,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_2fbdd5a83",1,3,"four",8
2,1,0,4,1,2,2,1,0,1,1,0,"ID_5bcf16715",1,2,"four",7
1,0,0,3,0,2,0,2,0,0,1,0,"ID_0fe7bafe4",1,3,"four",5
2,0,60000,5,1,2,0,2,0,0,2,0,"ID_70a0da4ff",1,4,"three",8
3,0,0,5,1,3,0,3,0,0,3,0,"ID_750191c71",1,6,"three",4
1,0,0,6,1,3,0,3,0,0,1,0,"ID_e646707a0",1,4,"four",8
1,0,0,4,1,3,0,3,0,0,1,0,"ID_387f24ed0",1,4,"four",8
2,0,0,6,1,2,0,2,0,0,2,0,"ID_8359a787c",1,4,"two",8
0,0,360000,6,1,1,0,1,0,0,0,0,"ID_09e4e64b0",1,1,"four",2
0,0,350000,4,1,2,0,2,0,0,0,0,"ID_7df0c3313",1,2,"four",2
3,0,0,6,1,0,0,0,0,0,3,0,"ID_6c7b023ed",1,3,"four",1
0,0,0,4,1,2,0,2,0,0,0,0,"ID_02f170a44",1,2,"two",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_4c3372297",1,4,"four",8
3,0,0,2,1,1,0,1,0,0,3,1,"ID_8bdae8a4f",1,4,"four",3
3,1,180000,4,1,0,1,0,0,0,2,0,"ID_ad37445fe",1,2,"four",1
3,0,0,7,1,1,0,1,0,0,3,0,"ID_fe7cc1007",1,4,"four",4
2,1,50000,4,1,0,1,0,0,0,1,0,"ID_590c2fc90",1,1,"two",1
1,0,0,2,1,3,2,1,0,2,1,1,"ID_0a176d3ec",1,2,"one",3
1,0,5e+05,6,1,3,1,2,0,1,1,0,"ID_27e24f23b",1,3,"four",8
2,1,0,4,1,2,1,2,0,0,1,0,"ID_d12a9e5bf",1,3,"one",8
2,1,0,5,1,3,3,1,0,2,1,0,"ID_caaafd511",1,2,"two",7
1,0,40000,5,1,1,0,1,0,0,1,0,"ID_b2bc9756c",1,2,"four",2
6,1,150000,5,1,4,5,0,0,4,5,1,"ID_110fe1371",1,5,"one",3
2,1,1e+05,5,1,2,2,1,0,1,1,0,"ID_80df43006",1,2,"two",7
1,0,60000,5,1,2,0,2,0,0,1,0,"ID_32c894526",1,3,"four",8
3,1,0,5,1,0,1,0,0,0,2,0,"ID_6d289b529",1,2,"four",1
1,0,0,4,0,2,0,2,0,0,1,0,"ID_f78218322",1,3,"four",5
3,0,160000,4,1,2,0,2,0,0,3,0,"ID_9e962995f",1,5,"two",4
2,0,40000,6,1,1,1,0,0,1,2,0,"ID_c7f67bbb3",1,2,"four",1
3,1,120000,7,1,2,2,1,0,1,2,0,"ID_ca5283ca0",1,3,"four",7
4,1,0,5,1,0,1,0,0,0,3,0,"ID_031cb61c9",1,3,"four",1
0,0,0,5,1,1,0,1,0,0,0,0,"ID_0ce53c899",1,1,"four",2
2,0,0,6,1,0,0,0,0,0,2,0,"ID_e1093659e",1,2,"four",1
1,0,1e+05,4,0,1,0,1,0,0,1,0,"ID_f78d4ee67",1,2,"two",5
1,0,125518,8,1,0,0,0,0,0,1,0,"ID_58673c9de",1,1,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_1d1e4e1a7",1,2,"three",2
1,0,0,4,1,3,1,2,0,1,1,0,"ID_466ff90a9",1,3,"four",8
3,1,0,3,0,1,1,1,0,0,2,0,"ID_039a6e46b",1,3,"one",5
0,0,0,5,1,3,0,3,0,0,0,0,"ID_deaf1ce8f",1,3,"four",8
1,0,0,11,1,1,0,1,0,0,1,0,"ID_4e884d6e1",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_90f0db8b9",1,2,"three",2
0,0,0,2,0,1,0,1,0,0,0,0,"ID_70e10ad49",1,1,"three",5
2,0,0,4,1,2,1,1,0,1,2,0,"ID_6237ea146",1,3,"three",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_7d7f7a6ee",1,3,"four",1
3,0,570540,9,1,2,0,2,0,0,3,0,"ID_34cc521da",1,5,"four",4
2,0,0,6,1,2,0,2,0,0,2,0,"ID_f7e2a3b81",1,4,"four",8
2,1,0,5,1,2,1,2,0,0,1,0,"ID_5aa6e5400",1,3,"two",8
1,0,35000,4,1,3,0,3,0,0,1,0,"ID_4e3b4bf14",1,4,"four",8
2,0,0,3,1,0,0,0,0,0,2,0,"ID_4625948fc",1,2,"two",1
2,0,0,4,1,3,1,2,0,1,2,0,"ID_a2ba0f0e3",1,4,"three",8
0,0,0,8,1,3,0,3,0,0,0,0,"ID_518340606",1,3,"four",8
3,0,0,5,1,2,0,2,0,0,3,0,"ID_32df622e0",1,5,"four",4
2,1,180000,4,1,1,1,1,0,0,1,0,"ID_f63e912bd",1,2,"four",1
1,0,0,1,0,1,0,1,0,0,1,0,"ID_68aaebf2f",0,2,"four",6
1,0,120000,5,1,2,1,1,0,1,1,0,"ID_35a6aa36d",1,2,"four",2
2,1,0,3,1,1,1,1,0,0,1,0,"ID_540d5ad48",1,2,"four",1
3,1,80000,6,1,2,1,2,0,0,2,0,"ID_d45ae367d",1,4,"two",4
0,0,0,4,1,2,0,2,0,0,0,0,"ID_ca701e058",1,2,"two",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_659a4db79",1,2,"one",2
1,0,0,4,1,3,1,2,0,1,1,0,"ID_3c0206749",1,3,"two",8
2,0,285270,6,1,2,1,1,0,1,2,0,"ID_e1683cae3",1,3,"four",1
3,0,0,6,1,0,0,0,0,0,3,0,"ID_3b4a4951f",1,3,"three",1
0,0,1e+05,3,1,2,0,2,0,0,0,0,"ID_b7557c5bc",1,2,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_d2c3a03e5",1,3,"two",1
3,1,0,5,1,2,2,1,0,1,2,0,"ID_0bce63f9c",1,3,"three",7
2,0,0,7,1,1,0,1,0,0,2,0,"ID_78e4a4357",1,3,"four",1
2,1,0,5,1,2,1,2,0,0,1,0,"ID_935725dd4",1,3,"three",8
1,0,0,3,1,1,0,1,0,0,1,0,"ID_dfe1df40c",1,2,"four",2
2,1,220000,4,1,2,2,1,0,1,1,0,"ID_c275d3582",1,2,"four",7
1,0,150000,5,1,1,0,1,0,0,1,0,"ID_6718f7a52",1,2,"four",2
3,0,0,5,1,3,0,3,0,0,3,0,"ID_d3b16fb72",1,6,"three",4
1,0,0,6,1,4,0,4,0,0,1,0,"ID_782e4fefe",1,5,"four",8
0,0,55000,3,1,3,0,3,0,0,0,0,"ID_1f68d28d3",1,3,"four",8
1,0,0,3,1,1,0,1,0,0,1,0,"ID_f5bc335c1",1,2,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_d018d538c",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_78756b80a",1,1,"two",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_39afba3d5",1,2,"four",2
1,0,27000,4,1,2,1,1,0,1,1,0,"ID_62524d9d5",1,2,"two",2
1,0,0,7,1,1,0,1,0,0,1,0,"ID_05aefd569",1,2,"four",2
1,0,0,4,1,3,1,2,0,1,1,0,"ID_3ffd59f63",1,3,"one",8
3,0,110000,3,1,2,0,2,0,0,3,0,"ID_7982da5a6",1,5,"two",4
1,0,0,6,1,1,0,1,0,0,1,0,"ID_8178e9e3e",1,2,"four",2
1,0,70000,3,1,2,0,2,0,0,1,0,"ID_d8063b21e",1,3,"three",8
1,0,0,7,1,2,0,2,0,0,1,0,"ID_9d737cfba",1,3,"four",8
3,0,0,7,1,1,0,1,0,0,3,0,"ID_b2b434c62",1,4,"three",4
1,0,60000,3,1,3,1,2,0,1,1,1,"ID_69416aec4",1,3,"three",3
4,2,0,8,1,2,2,2,0,0,2,0,"ID_a44c8fda7",1,4,"four",4
4,1,0,4,1,2,2,1,0,1,3,0,"ID_29edc5a1c",1,4,"three",4
3,1,0,7,1,4,1,4,0,0,2,0,"ID_e8d85f62a",1,6,"two",4
3,2,1e+05,4,1,1,2,1,0,0,1,0,"ID_263f3be9e",1,2,"four",7
1,0,150000,5,1,3,2,1,0,2,1,0,"ID_18cc3f08d",1,2,"three",7
3,1,2e+05,5,1,1,1,1,0,0,2,0,"ID_a0db6f374",1,3,"four",1
3,1,0,5,1,1,1,1,0,0,2,0,"ID_e0e27cabd",1,3,"two",1
3,1,0,5,1,3,1,3,0,0,2,0,"ID_5a1d47122",1,5,"four",4
2,0,450000,5,1,1,0,1,0,0,2,0,"ID_000694a57",1,3,"four",1
1,0,350000,5,1,2,1,1,0,1,1,0,"ID_0b6d8a711",1,2,"four",2
1,0,250000,5,1,2,0,2,0,0,1,0,"ID_7855a5880",1,3,"four",8
1,0,0,5,0,3,2,1,0,2,1,0,"ID_35301209a",1,2,"four",5
3,2,0,5,1,0,2,0,0,0,1,0,"ID_923660245",1,1,"one",7
2,1,0,9,1,0,1,0,0,0,1,0,"ID_4a0e8a0ab",1,1,"four",1
4,1,0,6,1,1,1,1,0,0,3,0,"ID_2f6cd8a54",1,4,"two",4
3,0,0,6,1,2,1,1,0,1,3,0,"ID_c54787b51",1,4,"four",4
2,1,40000,4,1,2,2,1,0,1,1,0,"ID_35d7ffc56",1,2,"four",7
2,0,0,6,1,3,1,2,0,1,2,0,"ID_c269ea3da",1,4,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_fe66c8206",1,2,"four",2
2,1,0,5,1,2,1,2,0,0,1,0,"ID_920924dfa",1,3,"four",8
1,0,0,7,1,4,0,4,0,0,1,0,"ID_a93cc5069",1,5,"four",8
3,0,0,4,1,0,0,0,0,0,3,0,"ID_a57f33b6d",1,3,"three",1
0,0,0,5,1,1,0,1,0,0,0,0,"ID_6de13030f",1,1,"four",2
2,0,0,5,1,2,1,1,0,1,2,0,"ID_6bfef5df2",1,3,"four",1
0,0,120000,3,1,1,0,1,0,0,0,0,"ID_12dc9773c",1,1,"four",2
0,0,0,4,0,2,0,2,0,0,0,0,"ID_38ea783dc",1,2,"four",5
3,0,0,4,1,1,0,1,0,0,3,0,"ID_7ad17875f",1,4,"three",1
3,1,0,5,1,1,2,0,0,1,2,0,"ID_367bfbabd",1,2,"four",7
0,0,0,4,1,2,0,2,0,0,0,0,"ID_e966b4605",1,2,"one",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_ccc920272",1,1,"four",2
2,0,0,7,1,1,0,1,0,0,2,0,"ID_06884b738",1,3,"three",1
1,0,0,7,1,2,0,2,0,0,1,0,"ID_20f2e58c5",1,3,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_f8022f68a",1,2,"one",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_5b794f0f0",1,2,"four",2
4,0,0,5,1,3,0,3,0,0,4,0,"ID_17b31e21e",1,7,"two",4
1,0,4e+05,6,1,2,0,2,0,0,1,0,"ID_8107fa43c",1,3,"four",8
2,0,0,7,1,1,0,1,0,0,2,0,"ID_d8055d989",1,3,"four",1
3,0,0,5,1,2,0,2,0,0,3,0,"ID_f93b30101",1,5,"four",4
2,0,0,5,1,1,0,1,0,0,2,0,"ID_3c2f81269",1,3,"four",1
4,0,0,6,1,0,0,0,0,0,4,0,"ID_92ae5ec3c",1,4,"four",1
2,0,0,5,1,2,0,2,0,0,2,0,"ID_a0da6f66c",1,4,"four",8
2,0,0,4,1,1,1,0,0,1,2,0,"ID_34dcbf486",1,2,"two",1
3,1,0,6,1,3,2,2,0,1,2,0,"ID_39c99a994",1,4,"four",7
2,0,0,9,1,6,0,6,0,0,2,0,"ID_f3fb690ef",1,8,"four",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_2b2ec2a27",1,1,"four",2
0,0,170000,5,1,3,0,3,0,0,0,0,"ID_c34bfc1be",1,3,"four",8
1,0,0,7,1,4,0,4,0,0,1,0,"ID_91b628e17",1,5,"four",8
1,0,0,3,1,2,1,1,0,1,1,0,"ID_8ec0e509e",1,2,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_0fd17febb",1,3,"four",1
3,0,0,6,1,2,0,2,0,0,3,0,"ID_0c6c7c46c",1,5,"four",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_064b57869",1,2,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_b0262e36b",1,1,"two",2
3,1,0,4,1,2,1,2,0,0,2,0,"ID_1d446363c",1,4,"four",4
6,2,80000,4,1,7,7,2,1,5,4,1,"ID_9d13008e7",1,6,"one",3
2,0,0,6,1,2,0,2,0,0,2,0,"ID_13722caf5",1,4,"four",8
1,0,0,4,1,3,0,3,0,0,1,0,"ID_88cb4ef73",1,4,"two",8
1,0,0,2,0,1,0,1,0,0,1,0,"ID_350f45b99",1,2,"two",5
2,1,0,6,1,0,1,0,0,0,1,0,"ID_654683e33",1,1,"four",1
0,0,0,4,1,1,0,1,0,0,0,0,"ID_a3ab49b7f",1,1,"two",2
0,0,0,3,1,1,0,1,0,0,0,0,"ID_033a051b2",1,1,"one",2
0,0,0,4,1,1,0,1,0,0,0,0,"ID_24dd596ed",1,1,"four",2
2,0,0,6,1,0,0,0,0,0,2,0,"ID_4938f0121",1,2,"two",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_8f88c2b2c",1,3,"two",1
2,0,0,6,1,0,0,0,0,0,2,0,"ID_871d4bfd1",1,2,"four",1
3,0,350000,7,1,1,0,1,0,0,3,0,"ID_838ff23f1",1,4,"four",4
4,0,0,5,1,1,0,1,0,0,4,0,"ID_3e09583b1",1,5,"three",4
1,0,0,6,1,1,0,1,0,0,1,0,"ID_e6ccf0d66",1,2,"four",2
8,6,0,3,1,1,7,0,1,1,2,1,"ID_34fa95ae4",1,2,"two",3
2,1,0,3,1,2,1,2,0,0,1,1,"ID_36e038b90",1,3,"one",3
2,1,0,4,1,1,2,0,0,1,1,0,"ID_2f4602265",1,1,"two",7
1,0,0,5,1,2,0,2,0,0,1,0,"ID_ed570dcb2",1,3,"four",8
3,1,0,5,1,2,2,1,0,1,2,0,"ID_60164c301",1,3,"three",7
3,1,0,6,1,3,1,3,0,0,2,0,"ID_9cf12b1f5",1,5,"two",4
1,0,0,6,1,0,0,0,0,0,1,0,"ID_689c2af1f",1,1,"four",2
1,0,50000,4,1,1,0,1,0,0,1,0,"ID_58783c50a",1,2,"two",2
2,1,0,5,1,1,1,1,0,0,1,0,"ID_de46a5770",1,2,"three",1
3,0,0,5,1,1,0,1,0,0,3,0,"ID_8eacd6d5e",1,4,"four",1
4,3,120000,3,1,0,3,0,0,0,1,0,"ID_2e46907e8",1,1,"two",7
4,1,0,5,1,4,3,2,0,2,3,0,"ID_11475793a",1,5,"two",7
2,1,0,4,1,1,1,1,0,0,1,0,"ID_902cc0a6b",1,2,"four",1
1,0,0,8,1,1,0,1,0,0,1,0,"ID_6f094c356",1,2,"four",2
2,0,0,7,1,2,0,2,0,0,2,0,"ID_73a3a737d",1,4,"four",8
2,0,60000,4,1,2,1,1,0,1,2,0,"ID_a19b196e5",1,3,"one",1
1,0,0,7,1,2,0,2,0,0,1,0,"ID_3091323ee",1,3,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_98b8bc853",1,3,"four",8
3,2,0,3,0,5,4,3,1,2,1,1,"ID_c464f1540",1,4,"two",3
2,0,0,5,1,1,0,1,0,0,2,0,"ID_1329d6d8a",1,3,"four",1
2,0,50000,5,0,2,0,2,0,0,2,0,"ID_ad9fdb3ae",1,4,"three",5
1,0,0,7,1,0,0,0,0,0,1,0,"ID_6033f6dbe",1,1,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_898132128",1,2,"two",2
2,0,0,4,1,2,1,1,0,1,2,0,"ID_2c10adfe1",1,3,"three",1
0,0,360000,6,1,1,0,1,0,0,0,0,"ID_91af0b79f",1,1,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_b3d0784fc",1,2,"three",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_598653f8f",1,3,"four",8
2,0,0,6,1,1,0,1,0,0,2,0,"ID_e946458d3",1,3,"four",1
2,0,0,7,1,0,0,0,0,0,2,0,"ID_dd1e4333b",1,2,"four",1
2,1,0,5,1,3,1,3,0,0,1,0,"ID_3a9ae83a1",1,4,"three",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_9a93fc030",1,2,"four",2
0,0,0,4,1,3,0,3,0,0,0,0,"ID_6dc5c420a",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_5383af50b",1,2,"two",2
0,0,0,6,1,1,0,1,0,0,0,0,"ID_4fbce557f",1,1,"four",2
2,0,120000,5,1,2,0,2,0,0,2,0,"ID_add077bbd",1,4,"four",8
1,0,0,5,1,0,0,0,0,0,1,0,"ID_de5224580",1,1,"four",2
1,0,0,1,1,1,0,1,0,0,1,0,"ID_7226bda20",1,2,"four",2
2,1,0,4,1,1,1,1,0,0,1,0,"ID_115dcaf22",1,2,"four",1
1,0,0,6,1,2,1,1,0,1,1,0,"ID_b3dd09090",1,2,"four",2
3,1,2e+05,3,1,2,2,1,0,1,2,0,"ID_b8802d92d",1,3,"four",7
1,0,130000,2,1,1,0,1,0,0,1,0,"ID_53a04253d",1,2,"two",2
2,0,0,4,1,1,0,1,0,0,2,0,"ID_70f9083ea",1,3,"four",1
3,0,0,4,1,1,0,1,0,0,3,0,"ID_41c4fdc97",1,4,"two",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_1e6041756",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_95b542dbb",1,2,"four",2
2,0,0,5,1,3,0,3,0,0,2,0,"ID_7ac41d433",1,5,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_955f20a92",1,2,"four",2
1,0,90000,2,0,1,0,1,0,0,1,0,"ID_9c84de44e",1,2,"four",5
2,1,68000,4,1,2,1,2,0,0,1,0,"ID_1fd1e1ed2",1,3,"three",8
3,1,80000,4,1,1,1,1,0,0,2,0,"ID_d728c9073",1,3,"two",1
2,1,225000,6,1,1,1,1,0,0,1,0,"ID_2df77e5b3",1,2,"four",1
2,0,0,3,1,2,0,2,0,0,2,0,"ID_596fc05d1",1,4,"four",8
2,1,0,4,1,1,1,1,0,0,1,0,"ID_b119a2fee",1,2,"four",1
3,2,0,1,0,0,2,0,1,0,1,1,"ID_d278e78b9",1,1,"one",3
3,0,0,9,1,2,0,2,0,0,3,0,"ID_7e0d6711b",1,5,"four",4
1,0,120000,4,1,1,0,1,0,0,1,0,"ID_696074b4e",1,2,"four",2
3,0,0,5,1,0,0,0,0,0,3,0,"ID_4560bb792",1,3,"two",1
2,1,285270,8,1,2,2,1,0,1,1,0,"ID_ec12845a6",1,2,"four",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_c6c4ca644",1,3,"four",1
3,0,0,8,1,4,0,4,0,0,3,0,"ID_832130cf0",1,7,"four",4
2,0,0,7,1,1,0,1,0,0,2,0,"ID_2203c2a13",1,3,"four",1
